Tabela 1.3.21.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;;;;;;;;;;Tabela 1.3.21.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;;;;;;;;;;Tabela 1.3.21.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015

Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%);;;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)
;Total;Grupos de idade;;;;;;;;;Total;Grupos de idade;;;;;;;;;Total;Grupos de idade
;;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 anos ou mais;;;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 anos ou mais;;;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 anos ou mais
Nordeste;  33 690;  2 197;  3 997;  3 669;  3 579;  7 046;  5 556;  4 087;  3 558;Nordeste;100,0;6,5;11,9;10,9;10,6;20,9;16,5;12,1;10,6;Nordeste;69,6;43,6;75,5;83,3;82,8;80,8;76,4;70,8;46,9
Maranhão;  3 094;   204;   429;   363;   383;   674;   462;   308;   271;Maranhão;100,0;6,6;13,9;11,7;12,4;21,8;14,9;10,0;8,7;Maranhão;54,7;27,9;61,3;67,8;68,7;66,3;61,9;52,4;34,7
Piauí;  1 874;   124;   237;   212;   196;   398;   293;   228;   186;Piauí;100,0;6,6;12,6;11,3;10,5;21,2;15,6;12,2;9,9;Piauí;68,4;40,1;77,4;83,2;84,7;77,4;72,0;70,3;47,7
Ceará;  5 189;   320;   625;   625;   581;  1 083;   823;   567;   566;Ceará;100,0;6,2;12,0;12,0;11,2;20,9;15,9;10,9;10,9;Ceará;67,6;44,6;76,2;83,3;80,5;79,9;73,1;66,3;42,5
Região Metropolitana de Fortaleza;  2 730;   167;   295;   316;   308;   578;   468;   320;   277;Região Metropolitana de Fortaleza;100,0;6,1;10,8;11,6;11,3;21,2;17,2;11,7;10,1;Região Metropolitana de Fortaleza;81,6;55,0;86,0;91,1;93,0;92,4;88,6;82,3;58,1
Rio Grande do Norte;  2 250;   162;   253;   254;   254;   456;   367;   272;   232;Rio Grande do Norte;100,0;7,2;11,2;11,3;11,3;20,3;16,3;12,1;10,3;Rio Grande do Norte;75,6;55,4;83,5;86,1;88,7;86,2;78,8;74,0;53,1
Paraíba;  2 605;   184;   283;   286;   270;   539;   433;   328;   282;Paraíba;100,0;7,0;10,9;11,0;10,4;20,7;16,6;12,6;10,8;Paraíba;76,4;53,6;83,0;89,1;89,5;88,6;80,8;77,2;52,7
Pernambuco;  5 970;   396;   699;   607;   600;  1 173;  1 027;   767;   701;Pernambuco;100,0;6,6;11,7;10,2;10,1;19,6;17,2;12,8;11,7;Pernambuco;73,7;49,8;80,5;86,8;86,2;83,6;81,4;77,3;50,6
Região Metropolitana de Recife;  2 924;   190;   303;   281;   267;   569;   504;   417;   393;Região Metropolitana de Recife;100,0;6,5;10,4;9,6;9,1;19,5;17,2;14,3;13,5;Região Metropolitana de Recife;84,6;66,3;90,2;94,5;94,2;94,3;91,5;87,9;63,2
Alagoas;  1 916;   114;   229;   216;   198;   398;   326;   251;   184;Alagoas;100,0;5,9;12,0;11,3;10,3;20,8;17,0;13,1;9,6;Alagoas;67,2;36,9;71,2;83,9;82,6;78,6;74,5;71,5;43,1
Sergipe;  1 467;   100;   183;   168;   158;   305;   230;   179;   144;Sergipe;100,0;6,8;12,5;11,4;10,8;20,8;15,6;12,2;9,8;Sergipe;76,4;49,5;82,0;90,0;88,2;84,6;82,5;79,0;54,5
Bahia;  9 326;   594;  1 059;   939;   939;  2 020;  1 594;  1 187;   993;Bahia;100,0;6,4;11,4;10,1;10,1;21,7;17,1;12,7;10,6;Bahia;71,3;44,3;75,1;85,1;84,5;83,2;79,1;72,3;48,9
Região Metropolitana de Salvador;  3 057;   179;   301;   291;   301;   686;   554;   423;   321;Região Metropolitana de Salvador;100,0;5,9;9,8;9,5;9,8;22,4;18,1;13,8;10,5;Região Metropolitana de Salvador;87,9;63,3;90,0;94,7;96,2;95,8;93,7;90,3;69,3
Sudeste;  62 455;  3 771;  6 134;  5 942;  5 894;  12 648;  11 025;  9 099;  7 942;Sudeste;100,0;6,0;9,8;9,5;9,4;20,3;17,7;14,6;12,7;Sudeste;82,6;63,6;89,1;94,0;93,9;93,1;89,7;83,8;59,0
Minas Gerais;  14 674;   915;  1 523;  1 448;  1 399;  2 988;  2 573;  2 053;  1 776;Minas Gerais;100,0;6,2;10,4;9,9;9,5;20,4;17,5;14,0;12,1;Minas Gerais;79,8;59,7;86,4;91,9;91,2;90,9;86,1;80,6;56,4
Região Metropolitana de Belo Horizonte;  4 034;   240;   399;   423;   398;   818;   713;   558;   484;Região Metropolitana de Belo Horizonte;100,0;6,0;9,9;10,5;9,9;20,3;17,7;13,8;12,0;Região Metropolitana de Belo Horizonte;87,2;65,3;92,6;96,4;95,8;95,4;94,3;89,0;66,2
Espírito Santo;  2 780;   161;   266;   245;   279;   584;   491;   398;   356;Espírito Santo;100,0;5,8;9,6;8,8;10,0;21,0;17,7;14,3;12,8;Espírito Santo;81,1;54,9;86,9;94,2;93,2;91,8;87,3;82,4;60,6
Rio de Janeiro;  12 167;   699;  1 188;  1 110;  1 045;  2 418;  2 039;  1 864;  1 804;Rio de Janeiro;100,0;5,7;9,8;9,1;8,6;19,9;16,8;15,3;14,8;Rio de Janeiro;83,1;64,3;90,4;95,0;94,1;92,9;90,9;84,3;62,0
Região Metropolitana do Rio de Janeiro;  9 074;   519;   875;   837;   773;  1 834;  1 525;  1 356;  1 355;Região Metropolitana do Rio de Janeiro;100,0;5,7;9,6;9,2;8,5;20,2;16,8;14,9;14,9;Região Metropolitana do Rio de Janeiro;84,3;66,4;90,8;95,6;95,4;94,2;91,8;85,5;63,1
